identity_key,primary_candidate,merged_away,legacy_ids,titles
"issn_l:1838-2959",CAND-008629,"CAND-016075","j-disc-issn-2205-0795;j-disc-issn-1838-2959","Student Success | The International Journal of the First Year in Higher Education"
"issn_l:1300-4751",CAND-008764,"CAND-020697","j-disc-issn-2602-4918;j-disc-issn-1300-4751","Gynecology Obstetrics and Reproductive Medicine"
"issn_l:0216-8227",CAND-008820,"CAND-020517","j-disc-issn-0216-8227;j-disc-issn-2460-1543","Padjadjaran | PADJADJARAN Jurnal Ilmu Hukum (Journal of Law)"
"issn_l:2036-3176",CAND-009056,"CAND-009441","j-disc-issn-2524-8987;j-disc-issn-2036-3176","The Ultrasound Journal | Critical Ultrasound Journal"
"issn_l:1410-4350",CAND-009145,"CAND-021891","j-disc-issn-1410-4350;j-disc-issn-2621-7120","Analisa Journal of Social Science and Religion | Analisa"
"issn_l:1993-047X",CAND-009352,"CAND-011716","j-disc-issn-1993-047X;j-disc-issn-2782-2923","Actual Problems of Economics and Law | Russian Journal of Economics and Law"
"issn_l:2089-970X",CAND-009409,"CAND-021064","j-disc-issn-2089-970X;j-disc-issn-2337-5124","JAI (Jurnal Anestesiologi Indonesia)"
"issn_l:2316-2058",CAND-009669,"CAND-017581","j-disc-issn-2965-1506;j-disc-issn-2316-2058","REGEPE Entrepreneurship and Small Business Journal | REGEPE - Revista de Empreendedorismo e Gestão de Pequenas Empresas"
"issn_l:1986-6097",CAND-009681,"CAND-020550","j-disc-issn-1986-6119;j-disc-issn-1986-6089","sportlogia | Sportlogia"
"issn_l:2146-0639",CAND-009714,"CAND-023048","j-disc-issn-2687-6442;j-disc-issn-2146-0639","Florence Nightingale Journal of Nursing"
"issn_l:0344-5925",CAND-009737,"CAND-011289","j-disc-issn-2510-5264;j-disc-issn-0344-5925","German Journal of Sports Medicine"
"issn_l:2477-5738",CAND-009752,"CAND-021103","j-disc-issn-2502-0528;j-disc-issn-2477-5738","Jurnal Public Policy"
"issn_l:2312-9735",CAND-009883,"CAND-022994","j-disc-issn-2658-4670;j-disc-issn-2312-9735","Discrete and Continuous Models and Applied Computational Science | Вестник Российского университета дружбы народов. Серия: Математика, информатика, физика"
"issn_l:2456-8309",CAND-009996,"CAND-020621","j-disc-issn-2582-3590;j-disc-issn-2456-8309","RUHS Journal of Health Science"
"issn_l:0187-7372",CAND-010076,"CAND-020468","j-disc-issn-2594-0260;j-disc-issn-0187-7372","Frontera norte"
"issn_l:2223-5752",CAND-010184,"CAND-023041","j-disc-issn-2707-3092;j-disc-issn-2223-5752","Professional Pedagogics"
"issn_l:2085-0034",CAND-010210,"CAND-020969","j-disc-issn-2549-3388;j-disc-issn-2085-0034","Al-Bidayah Jurnal Pendidikan Dasar Islam"
"issn_l:0188-7890",CAND-010266,"CAND-021161","j-disc-issn-2683-1716;j-disc-issn-0188-7890","Avances en Investigación Agropecuaria"
"issn_l:1810-3154",CAND-010287,"CAND-022923","j-disc-issn-2663-9084;j-disc-issn-1810-3154","Ukrainian Neurosurgical Journal"
"issn_l:1300-6525",CAND-010289,"CAND-021040","j-disc-issn-2149-0880;j-disc-issn-1300-6525","kulak burun boğaz ve baş boyun cerrahisi dergisi"
"issn_l:1982-1867",CAND-010313,"CAND-016764","j-disc-issn-2763-8898;j-disc-issn-1982-1867","Revista de Ensino de Biologia da SBEnBio"
"issn_l:2442-7284",CAND-010492,"CAND-021107","j-disc-issn-2442-8744;j-disc-issn-2442-7284","Jurnal Farmasi Galenika (Galenika Journal of Pharmacy) (e-Journal)"
"issn_l:0121-8697",CAND-010501,"CAND-021100","j-disc-issn-2145-9355;j-disc-issn-0121-8697","Revista de Derecho Uninorte"
"issn_l:2686-3782",CAND-010562,"CAND-021160","j-disc-issn-2686-3782;j-disc-issn-2714-8742","Alauddin Law Development Journal"
"issn_l:1303-0671",CAND-010591,"CAND-020866","j-disc-issn-2630-5550;j-disc-issn-1303-0671","Marife Dini Araştırmalar Dergisi"
"issn_l:0120-1425",CAND-010602,"CAND-020008","j-disc-issn-2711-1318;j-disc-issn-0120-1425","Boletín Geológico"
"issn_l:2355-8857",CAND-010807,"CAND-020993","j-disc-issn-2407-6376;j-disc-issn-2355-8857","Journal of Health (JoH)"
"issn_l:2723-9586",CAND-010830,"CAND-021169","j-disc-issn-2723-9586;j-disc-issn-2724-3915","IUL Research"
"issn_l:2088-7841",CAND-011026,"CAND-021006","j-disc-issn-2303-3460;j-disc-issn-2088-7841","Journal of Business and Banking"
"issn_l:1411-5735",CAND-011099,"CAND-021102","j-disc-issn-2442-5613;j-disc-issn-1411-5735","Jurnal ILMU DASAR"
"issn_l:1735-6679",CAND-011257,"CAND-018806","j-disc-issn-1735-6679;j-disc-issn-2322-3839","Alborz University Medical Journal"
"issn_l:0535-8418",CAND-011281,"CAND-020392","j-disc-issn-2602-4039;j-disc-issn-0535-8418","Forestist | İstanbul Üniversitesi Orman Fakültesi Dergisi"
"issn_l:2356-4547",CAND-011298,"CAND-021142","j-disc-issn-2721-0006;j-disc-issn-2356-4547","Manna Rafflesia"
"issn_l:2722-1156",CAND-011303,"CAND-021241","j-disc-issn-2722-1156;j-disc-issn-2722-1164","International Journal of Business Economics and Social Development"
"issn_l:1512-3146",CAND-011313,"CAND-021027","j-disc-issn-1512-3146;j-disc-issn-1987-9601","International Journal of Multilingual Education"
"issn_l:2251-8460",CAND-011352,"CAND-023108","j-disc-issn-2588-3712;j-disc-issn-2251-8460","Journal of Holistic Nursing and Midwifery"
"issn_l:1409-7001",CAND-011405,"CAND-020046","j-disc-issn-1857-8462;j-disc-issn-1409-7001","SEEU Review | South East European University Review"
"issn_l:2645-2685",CAND-011429,"CAND-020677","j-disc-issn-2645-2685;j-disc-issn-2756-6811","ABUAD Journal of Engineering Research and Development (AJERD)"
"issn_l:2502-5643",CAND-011534,"CAND-021108","j-disc-issn-2720-9571;j-disc-issn-2502-5643","Risenologi"
"issn_l:2476-8642",CAND-011576,"CAND-021010","j-disc-issn-2536-6149;j-disc-issn-2476-8642","Annals of Health Research (The Journal of the Medical and Dental Consultants Association of Nigeria OOUTH Sagamu Nigeria)"
"issn_l:2502-7816",CAND-011645,"CAND-021140","j-disc-issn-2503-524X;j-disc-issn-2502-7816","JOALL (Journal of Applied Linguistics and Literature)"
"issn_l:1448-7535",CAND-011693,"CAND-023124","j-disc-issn-2209-1084;j-disc-issn-1448-7535","Journal of Perioperative Nursing"
"issn_l:2307-2075",CAND-011720,"CAND-021402","j-disc-issn-2307-2075;j-disc-issn-2596-3503","Inter"
"issn_l:2614-1094",CAND-011808,"CAND-021094","j-disc-issn-2614-1094;j-disc-issn-2614-591X","Jurnal Pendidikan Geografi Undiksha"
"issn_l:0123-4471",CAND-011839,"CAND-020998","j-disc-issn-2462-9782;j-disc-issn-0123-4471","Revista de Antropología y Sociología Virajes"
"issn_l:2302-755X",CAND-011889,"CAND-021075","j-disc-issn-2302-755X;j-disc-issn-2503-2658","Prasasti/UNS journal of language studies | PRASASTI Journal of Linguistics"
"issn_l:2830-1846",CAND-012065,"CAND-021167","j-disc-issn-2830-1846;j-disc-issn-2722-2837","Lentera Perawat"
"issn_l:2415-783X",CAND-012080,"CAND-023050","j-disc-issn-2789-1569;j-disc-issn-2415-783X","Theological Reflections Eastern European Journal of Theology"
"issn_l:1995-1477",CAND-012132,"CAND-023078","j-disc-issn-2712-8741;j-disc-issn-1995-1477","Ambulatornaya khirurgiya = Ambulatory Surgery (Russia)"
